Order_Date,Sales
2009-01-01,516302.9595
2009-02-01,332480.6365
2009-03-01,411628.729
2009-04-01,393276.482
2009-05-01,230145.538
2009-06-01,263456.06799999997
2009-07-01,380503.97
2009-08-01,329754.715
2009-09-01,325292.3145
2009-10-01,361555.2665
2009-11-01,248933.426
2009-12-01,415809.3505
2010-01-01,336526.6805
2010-02-01,271580.508
2010-03-01,217808.00650000002
2010-04-01,266968.589
2010-05-01,283534.285
2010-06-01,293080.665
2010-07-01,229885.4985
2010-08-01,207937.009
2010-09-01,418343.2785
2010-10-01,365251.985
2010-11-01,290670.3455
2010-12-01,368093.954
2011-01-01,251467.228
2011-02-01,299890.141
2011-03-01,296035.871
2011-04-01,288213.397
2011-05-01,262628.496
2011-06-01,197740.8455
2011-07-01,287905.1865
2011-08-01,274578.4795
2011-09-01,276049.796
2011-10-01,305660.451
2011-11-01,367769.496
2011-12-01,328877.3145
2012-01-01,340626.507
2012-02-01,276132.499
2012-03-01,348208.325
2012-04-01,268024.97
2012-05-01,384588.0615
2012-06-01,276580.9355
2012-07-01,242809.6995
2012-08-01,302745.1235
2012-09-01,318271.5665
2012-10-01,351246.7325
2012-11-01,256020.104
2012-12-01,354709.338
